iter	Passed	Remaining
800	12823	3185
801	12845	3171
802	12865	3156
803	12884	3141
804	12904	3125
805	12922	3110
806	12941	3095
807	12959	3079
808	12978	3064
809	12995	3048
810	13014	3032
811	13034	3017
812	13055	3002
813	13075	2987
814	13094	2972
815	13112	2956
816	13132	2941
817	13156	2927
818	13182	2913
819	13204	2898
820	13224	2883
821	13242	2867
822	13260	2851
823	13281	2836
824	13299	2821
825	13318	2805
826	13336	2789
827	13357	2774
828	13378	2759
829	13397	2743
830	13415	2728
831	13434	2712
832	13451	2696
833	13467	2680
834	13485	2664
835	13503	2648
836	13520	2632
837	13538	2617
838	13554	2601
839	13570	2584
840	13586	2568
841	13604	2552
842	13622	2537
843	13642	2521
844	13661	2505
845	13679	2490
846	13700	2474
847	13720	2459
848	13739	2443
849	13757	2427
850	13774	2411
851	13792	2395
852	13810	2379
853	13827	2363
854	13843	2347
855	13864	2332
856	13881	2316
857	13900	2300
858	13918	2284
859	13936	2268
860	13958	2253
861	13986	2239
862	14008	2223
863	14034	2209
864	14053	2193
865	14071	2177
866	14089	2161
867	14107	2145
868	14131	2130
869	14151	2114
870	14169	2098
871	14186	2082
872	14209	2067
873	14227	2051
874	14244	2034
875	14265	2019
876	14293	2004
877	14318	1989
878	14337	1973
879	14357	1957
880	14373	1941
881	14389	1925
882	14404	1908
883	14423	1892
884	14439	1876
885	14456	1860
886	14473	1843
887	14490	1827
888	14507	1811
889	14523	1794
890	14539	1778
891	14556	1762
892	14572	1746
893	14589	1729
894	14607	1713
895	14623	1697
896	14638	1680
897	14654	1664
898	14670	1648
899	14686	1631
900	14702	1615
901	14718	1599
902	14734	1582
903	14749	1566
904	14765	1549
905	14780	1533
906	14794	1517
907	14810	1500
908	14826	1484
909	14842	1467
910	14859	1451
911	14874	1435
912	14889	1418
913	14905	1402
914	14921	1386
915	14937	1369
916	14954	1353
917	14969	1337
918	14984	1320
919	15000	1304
920	15015	1287
921	15031	1271
922	15045	1255
923	15067	1239
924	15086	1223
925	15102	1206
926	15119	1190
927	15152	1175
928	15190	1160
929	15210	1144
930	15228	1128
931	15245	1112
932	15261	1095
933	15281	1079
934	15297	1063
935	15313	1047
936	15329	1030
937	15347	1014
938	15364	998
939	15383	981
940	15399	965
941	15414	949
942	15430	932
943	15445	916
944	15461	899
945	15476	883
946	15493	867
947	15508	850
948	15525	834
949	15543	818
950	15560	801
951	15579	785
952	15597	769
953	15615	752
954	15633	736
955	15650	720
956	15669	704
957	15687	687
958	15708	671
959	15726	655
960	15744	638
961	15762	622
962	15782	606
963	15800	590
964	15818	573
965	15834	557
966	15851	540
967	15868	524
968	15890	508
969	15912	492
970	15946	476
971	15967	459
972	15989	443
973	16012	427
974	16032	411
975	16049	394
976	16066	378
977	16082	361
978	16099	345
979	16117	328
980	16135	312
981	16152	296
982	16170	279
983	16190	263
984	16208	246
985	16226	230
986	16245	213
987	16268	197
988	16288	181
989	16308	164
990	16328	148
991	16346	131
992	16364	115
993	16383	98
994	16402	82
995	16420	65
996	16441	49
997	16460	32
998	16477	16
999	16494	0
